33,2,31,4,29,6,27,8,5,30,3,32,9,26,7,28,25,10,23,12,21,14,19,16,13,22,11,24,17,18,15,20
65,34,63,36,61,38,59,40,37,62,35,64,41,58,39,60,57,42,55,44,53,46,51,48,45,54,43,56,49,50,47,52
97,66,95,68,93,70,91,72,69,94,67,96,73,90,71,92,89,74,87,76,85,78,83,80,77,86,75,88,81,82,79,84
129,98,127,100,125,102,123,104,101,126,99,128,105,122,103,124,121,106,119,108,117,110,115,112,109,118,107,120,113,114,111,116
161,130,159,132,157,134,155,136,133,158,131,160,137,154,135,156,153,138,151,140,149,142,147,144,141,150,139,152,145,146,143,148
177,162,175,164,173,166,171,168,165,174,163,176,169,170,167,172,,,,,,,,,,,,,,,,
